username;location;tweet_text;created_at;retweets;likes;language;Foreigner
Carsten_Fi;no_location;Schusswaffen und Messer verbieten aber einmal im Jahr unbegrenzt Sprengstoff im ALDI kaufen ist okay;04.01.25 14:41;0;1;de;NO
CashFloh;no_location;Angesichts von 5 Toten vielen Schwerverletzten und Schden fr die Umwelt finde ich es dass NochKanzler Scholz ein Bllerverbot komisch findet Sprech des bildungsfernen Milieus und Anbiederung;05.01.25 14:43;0;0;de;NO
ChantalStadelm1;Luzern, Schweiz;Schtzt eure haltet euch konsequent von jeglichen lebensgefhrlichen der WHO SwissmedicBAG fern KarlLauterbach Sie gehren in den Knast fr ihre und SHomburg RealWsiegrist;09.01.25 18:49;0;1;de;YES
citius_fortius1;DACHI;KarlLauterbach Solange die 60000 auslndischen rzte mit keine Wohnungen in Brand setzen nicht mit Autos in fahren oder Menschen umbringen Alles bestens KarlLauterbach;03.01.25 16:57;2;84;de;NO
CityReport;Deutschland;Feuerwerksbatterie in Wohnung gezndet;06.01.25 19:42;0;0;de;NO
ClaudiagrLucian;no_location;BettinaJarasch Ach das Bllerverbot soll also Sicherheitskrfte usw schtzen Was stimmt bei euch im Kopf nicht dass ihr nicht erkennen wollt dass es nicht die und die sind sondern die Menschen Ich fordere ein Verbot des Faschismus der;06.01.25 18:50;0;0;de;NO
claudihada;no_location;Revolutionize your logistics with insights from Bayers Johnny Ivanyi speaking on global supply chain resilience at AIM Congress 2025 PHNIX AKUMA;05.01.25 16:08;0;0;en;NO
ConR19989810;no_location;Ein Bllerverbot bringt nichts da die problematischen Artikel meist F4 waren nicht F1F2 Als friedlicher Pyro der jedes Jahr ein groes sicheres F2Feuerwerk organisiert fr sein Dorf finde ich das ungerecht und unverhltnismig;05.01.25 14:39;0;0;de;NO
cramesco_cc;Earth;Ist Silvester zu einem Synonym fr Stupiditt verkommen Knaller amp Bller immer doofer amp dmmer Der Staat in Form von Polizei UND Justiz mu statt mte hrter sanktionieren PseudofeuerwerksIdioten ruinieren so manche Silvesterparty;06.01.25 06:14;0;1;de;NO
cyan_rk;100K km entfernt;Wie praktisch an der eingestrzten Bei Abbrucharbeiten wurde am Mittwoch eine gefunden;08.01.25 19:51;2;1;de;NO
daniela_biela;Gondelsheim;numerusclaudius Wenn mich mir anschaue wie viele rechte Patrioten stolz mit einer Wagenladung fr 100e oder 1000e und dummen Sprchen im Internet posiert haben wrde ich sagen das hat lngst nicht nur mit Migration zu tun sondern mit mnnlichem Ego und viel;05.01.25 14:39;0;4;de;NO
DanjaminCraig;no_location;Frher war das lauteste an der Knall der Heute sind es die Sirenen der Vielleicht sollten wir mal drber nachdenken was hier schief luft;07.01.25 23:31;0;2;de;NO
de_ges_portal;Köln;Neue Studie zu Hilfe bei Schlafstrungen nach Krebs Zum kompletten Beitrag;09.01.25 14:05;0;1;de;NO
de_laare_X2;no_location;Silvester Magdeburg Mannheim Weder die noch die sind das Problem Das Problem sind die eigentlich gar nicht in Deutschland sein drften Das was wir gerade erleben ist das Erbe der linksgrnen Pfui Nie wieder;04.01.25 07:51;5;6;de;NO
DemokratieTroll;no_location;niusde Wir wissen jetzt dass zweidrittel der arabische oder trkische Namen haben Freiwillig htte die Polizei diese fr unser wichtige Erkenntnis ber die durch nicht rausgerckt um die Wirklichkeit zu vertuschen;09.01.25 16:20;0;0;de;NO
Dieter_Rakete;Hamburg;Das sind aber mal Schlagzeilen aus der WELT auf Polizisten Rufe nach hrterer Gangart gegen Tter So darf kein ruhiger Jahreswechsel aussehen Die Migrationspolitik in zu vielen Lndern ist vllig irre;05.01.25 10:19;0;0;de;NO
DieterTillmann;Assholevillage;patr28145 FazerDDorf Lam3th Nicht von dem o dem geht die Gefahr aus Sie geht von dem aus der das Messer fhrt bzw das Feuerwerk in Rtg MenschenGebude zndet Wir lsen das nicht mit Verboten sondern mit AbschiebungBestrafung;05.01.25 10:13;0;1;de;NO
Disputatorus;no_location;Dann sucht man sich eben einfach einen anderen Skandal Hauptsache es redet keiner mehr darber das grtenteils Migranten kaputt machen und es fr Rettungs und Sicherheitskrfte zur Hlle werden lassen;09.01.25 09:48;0;0;de;NO
Dollfuss_;Ofra ;JochenAndru1981 Ein Beamter mit Charakter und Anstand Meine Meinung PS Natrlich wussten wir alle das es sich nicht um Deutsche gehandelt hat Aber wir sind dem dankbar;09.01.25 15:22;0;2;de;NO
doubtfireai;Bulgarien;PushUps im Postpark Dein Boss Bitch Workout;09.01.25 13:10;0;1;en;YES
doubtfireai;Bulgarien;BJJ Boxen amp Berlin Mein krasses Jahr;08.01.25 17:59;0;0;de;YES
DrakoonLP;no_location;Liked on YouTube Pyro Launcher Abschussbecher Vogelschreck amp Ratterpatronen;05.01.25 04:45;0;0;de;NO
DUEREN_NEWS;Düren, Kreis Düren, NRW, DE;Sanierung von Haus 14 der LVRKlinik Dren startet;09.01.25 09:56;0;1;de;NO
DYL_Ulenspiegel;Braunschweig;WDRaktuell Klar Schuld sind immer die anderen nicht die Politiker die von den jammernden Wirten und Anwohnern gewhlt werden;08.01.25 12:01;0;2;de;NO
E_D_K_R;Peenemünde;Und ZACK auf einmal gruppendynamischer Prozess von RaketenRecep und FeuerwerkFurkan Matthias Helferich MatthiasMdbbester Mann im Bundestag;03.01.25 21:16;4;11;de;NO
e_munich;Bayern;nikitheblogger Es heisst im brigen im zugewanderten Buntland nicht mehr Sondern Asylvester Weitgehend friedlich So jetzt stimmts;08.01.25 16:22;4;37;de;NO
Einfach_Ela_;no_location;Einen besseren Beweis dass die Liste der Vornamen echt ist und dass man es vor der Bevlkerung lieber verbergen wollte dass die meisten deutschen Krawallmacher einen Migrationshintergrund haben kann es gar nicht geben;09.01.25 15:57;0;0;de;NO
EmpireOfX;Buenos Aires, Argentina;ulfposh Ich bin auerdem fr ein Schwimmbder Verbot Da gehts doch wegen der gleichen Klientel genauso ab Stck fr Stck nehmen wir uns selbst die Freiheiten und realisieren es nicht mal;06.01.25 17:17;3;38;de;YES
Encilai;Weyhe;Seit 31 Jahren zum ersten Mal bei diesem gesehen dass es Raketen auch ohne den Plastikstpsel gibt Warum war das nicht schon frher so Das spart Plastik und ist auch einfacher;08.01.25 01:31;0;0;de;NO
endthesealhunt;Germany;please RT EUwide ban on the sale of pyrotechnics for private purposes;09.01.25 19:38;0;0;en;NO
ErzaehlDochMal_;Deutschland;Mit wem hast du Silvester verbracht;08.01.25 20:16;0;0;de;NO
EUSchwerbehind1;Berlin;Krankenstnde Strukturelle Ursachen angehen statt riskanter Scheinlsungen;09.01.25 12:31;0;0;de;NO
EUSchwerbehind1;Berlin;196 Millionen Unterschriften fr Bllerverbot an Innenministerium bergeben;06.01.25 14:31;0;2;de;NO
Evelknevel1311;Deutschland;unblogd Also ich bin fr ein in alles und mit mehr als 15000 Da die offenbar nicht mit umgehen kann wre das eine Die kann es offenbar daher;06.01.25 18:46;0;0;de;NO
experten_Report;München ;Deutsche bleiben Vorsorgemuffel Die Deutschen nehmen Vorsorgeuntersuchungen oft nicht ernst zeigt eine reprsentative Befragung von DA Direkt Besonders Mnner und junge Menschen weisen groe;09.01.25 10:29;0;3;de;NO
ExplosivSpirit;Berlin;das die Forderung nach einem bundesweiten als irgendwie komisch bezeichnet zeigt das Scholz irgendwie komisch ist Ihm sind die Opfer egal er schielt auf Whlerstimmen Auch das verantwortunsgsbewusste schadet Menschen Tieren Umwelt;06.01.25 14:16;1;10;de;NO
ExpressFuchs;no_location;tagesschau Frau Faeser redet mir Zuviel und handelt aber nicht von Auslndern;05.01.25 13:56;0;0;de;NO
Faenos_tz;Liverpool;Madeiras serene beauty fuels my drive for a dynamic and adventurous 2025;05.01.25 15:50;0;0;en;YES
fanny1liy;黙れ ;Isarborn1 jannibal amp htten die auf belgische deutsche Frauen verhindert 40 arabische umzingeln attackieren auf der Piazza Duomo;08.01.25 23:56;1;1;de;YES
FehringerMartin; 🇩🇪🇨🇭🇦🇹🇺🇸🇪🇺;Richtig so schoss in RaketenRambo festgenommen Wann lernt die clindner und FriedrichMerz;04.01.25 21:31;0;3;de;NO
FHA567748127460;Deutschland;in Kugelbombe ttet an;05.01.25 10:21;0;0;de;NO
